title,description,Genre,Actors,Poster,imdb_score,tags
Wheel of Fortune,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.","Family, Game-Show","Pat Sajak, Charlie O'Donnell, Vanna White",https://m.media-amazon.com/images/M/MV5BZmRiNDNkZTktZDM5NC00MzJmLTkwMmEtMDVjZWNiOGExODk5XkEyXkFqcGdeQXVyODg3NDc1OTE@._V1_SX300.jpg,6.7,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.SHOWFamily, Game-ShowUSPat Sajak, Charlie O'Donnell, Vanna White"
Danger Mouse,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.","Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi","Alexander Armstrong, Stephen Fry, Dave Lamb, Kevin Eldon",https://images-na.ssl-images-amazon.com/images/M/MV5BNDU0MDI5ZjEtOTFkMi00ODAwLWI3NzctNzFmMWZmYTQ0NTUwXkEyXkFqcGdeQXVyNTk5OTgzMTY@._V1_SX300.jpg,7.4,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.SHOWAnimation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-FiGBAlexander Armstrong, Stephen Fry, Dave Lamb, Kevin Eldon"
Danger Mouse,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.","Animation, Comedy, Family, Sci-Fi","Edward Kelsey, Brian Trueman, David Jason, Terry Scott",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMDk2NjQ0MV5BMl5BanBnXkFtZTcwMDc5MjYyMQ@@._V1_SX300.jpg,7.4,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.SHOWAnimation, Comedy, Family, Sci-FiGBEdward Kelsey, Brian Trueman, David Jason, Terry Scott"
Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.","Action, Crime, Thriller","Parker Sawyers, Royce Pierreson, Bashar Rahal, Paddy Wallace",https://m.media-amazon.com/images/M/MV5BMjE5NDM5MTQ0MF5BMl5BanBnXkFtZTgwMDEzNTUxNTE@._V1_SX300.jpg,7.4,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.SHOWAction, Crime, ThrillerUSParker Sawyers, Royce Pierreson, Bashar Rahal, Paddy Wallace"
Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.","Action, Crime, Thriller","Parker Sawyers, Royce Pierreson, Bashar Rahal, Paddy Wallace",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NDM5MTQ0MF5BMl5BanBnXkFtZTgwMDEzNTUxNTE@._V1_SX300.jpg,7.4,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.SHOWAction, Crime, ThrillerUSParker Sawyers, Royce Pierreson, Bashar Rahal, Paddy Wallace"
Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.","Action, Adventure, Drama, Sci-Fi","Amanda Tapping, Richard Dean Anderson, Michael Shanks, Christopher Judge",http://ia.media-imdb.com/images/M/MV5BMTc3MjEwMTc5N15BMl5BanBnXkFtZTcwNzQ2NjQ4NA@@._V1_SX300.jpg,8.4,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.SHOWAction, Adventure, Drama, Sci-FiUS, CAAmanda Tapping, Richard Dean Anderson, Michael Shanks, Christopher Judge"
Cowboy Bebop,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.","Animation, Action, Adventure, Drama, Sci-Fi, Thriller","Unshô Ishizuka, Steve Blum, Beau Billingslea, Kôichi Yamadera",https://images-na.ssl-images-amazon.com/images/M/MV5BZWRjN2NjNGEtMjc0MC00MzViLTlhNzItNWMzNjZmOGE5MTkzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,8.9,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.SHOWAnimation, Action, Adventure, Drama, Sci-Fi, ThrillerJPUnshô Ishizuka, Steve Blum, Beau Billingslea, Kôichi Yamadera"
The Challenge,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.","Adventure, Comedy, Family","Brian Skala, Lukas Behnken, Mary-Kate Olsen, Ashley Olsen",https://m.media-amazon.com/images/M/MV5BMjI5OTY4MDY4NV5BMl5BanBnXkFtZTgwMTUzNzgwMzE@._V1_SX300.jpg,7.8,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.SHOWAdventure, Comedy, FamilyUSBrian Skala, Lukas Behnken, Mary-Kate Olsen, Ashley Olsen"
Gilmore Girls,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.","Comedy, Drama","Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson",https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y1ZjAwNjQtOTY1MS00ZmVmLTlkODQtM2ZjZDM5NTg1OWRkXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,8.2,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.SHOWComedy, DramaUSLauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson"
Neon Genesis Evangelion,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.","Animation, Action, Drama, Fantasy, Sci-Fi, Thriller","Allison Keith, Amanda Winn Lee, Spike Spencer, Sue Ulu",https://m.media-amazon.com/images/M/MV5BYjY1Y2ZmNDctZWQ3Yy00MTE3LTk2M2QtMjQ0MDA5ODVjMDEyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,8.5,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.SHOWAnimation, Action, Drama, Fantasy, Sci-Fi, ThrillerJPAllison Keith, Amanda Winn Lee, Spike Spencer, Sue Ulu"
